LAST,FIRST,STATE,PHONE,ID,EMAIL,GRADYEAR,YRSSINCEGRAD,GPA,PROGRAM,STUDIEDABROAD,STUDIEDIN,NEWSLETTER
Webster,Waneta,Florida,(305) 555-9619,591979,wwebster2@alumni.rouxacademy.com,2002,10,2.72,Photography,NO,n/a,YES
Melton,Hwa,Texas,(830) 555-3398,527419,hmelton@alumni.rouxacademy.com,2009,3,2.47,Fine Art and Visual Culture,NO,n/a,YES
Brady,Crysta,Massachusetts,(508) 555-2863,717163,cbrady@alumni.rouxacademy.com,2001,11,2.15,Graphic Design,NO,n/a,NO
Mcgee,Kizzy,California,(209) 555-1065,393264,kmcgee@alumni.rouxacademy.com,2007,5,3.01,Photography,NO,n/a,YES
Payne,Hallie,Texas,(682) 555-4461,917091,hpayne@alumni.rouxacademy.com,2004,8,2.81,Graphic Design,NO,n/a,NO
Phelps,Alaine,Wisconsin,(608) 555-6869,385442,aphelps3@alumni.rouxacademy.com,2006,6,3.75,Fine Art and Visual Culture,NO,n/a,NO
Avila,Terrence,California,(657) 555-7608,803057,tavila@alumni.rouxacademy.com,2006,6,2.26,Photography,YES,South Africa,YES
Booker,Louis,Pennsylvania,(878) 555-6680,781275,lbooker@alumni.rouxacademy.com,2005,7,2.83,Photography,YES,India,NO
Wise,Harlan,New York,(315) 555-2188,610870,hwise2@alumni.rouxacademy.com,2005,7,2.4,Graphic Design,NO,n/a,YES
Rhodes,Eddy,New York,(516) 555-2943,528302,erhodes@alumni.rouxacademy.com,2010,2,2.14,Graphic Design,YES,Poland,YES
Cummings,Sage,Arizona,(602) 555-0015,885987,scummings@alumni.rouxacademy.com,2003,9,3.79,Fine Art and Visual Culture,NO,n/a,NO
Carlson,Sona,Illinois,(312) 555-8720,393823,scarlson@alumni.rouxacademy.com,2001,11,3.97,Graphic Design,NO,n/a,NO
Duffy,Carl,Iowa,(515) 555-7616,497971,cduffy@alumni.rouxacademy.com,2011,1,3.57,Fashion and Textile Design,NO,n/a,YES
Miles,Felton,Louisiana,(225) 555-6597,536777,fmiles@alumni.rouxacademy.com,2006,6,3.98,Fine Art and Visual Culture,NO,n/a,NO
Finley,Lissa,Wisconsin,(262) 555-3963,838399,lfinley@alumni.rouxacademy.com,2007,5,3.69,Graphic Design,YES,Finland,NO
Farrell,Tanika,Texas,(682) 555-0862,539281,tfarrell@alumni.rouxacademy.com,2004,8,2.61,Animation,NO,n/a,NO
Lancaster,Florentino,Pennsylvania,(717) 555-3813,38580,flancaster@alumni.rouxacademy.com,2004,8,3.98,Graphic Design,NO,n/a,YES
Nielsen,Latashia,Illinois,(779) 555-3992,978206,lnielsen@alumni.rouxacademy.com,2000,12,2.26,Photography,NO,n/a,YES
Woodard,Breann,Florida,(863) 555-5742,546206,bwoodard@alumni.rouxacademy.com,2007,5,3.87,Fine Art and Visual Culture,NO,n/a,NO
Freeman,Loralee,Texas,(325) 555-5267,141076,lfreeman@alumni.rouxacademy.com,2001,11,3.1,Graphic Design,NO,n/a,YES
Grant,Jan,Hawaii,(808) 555-5820,514027,jgrant2@alumni.rouxacademy.com,2009,3,3.21,Fine Art and Visual Culture,NO,n/a,NO
Colon,Shirly,Michigan,(269) 555-6228,591255,scolon@alumni.rouxacademy.com,2011,1,2.06,Fashion and Textile Design,NO,n/a,NO
Lopez,Gretchen,Michigan,(734) 555-8587,289779,glopez@alumni.rouxacademy.com,2010,2,2.75,Fine Art and Visual Culture,NO,n/a,YES
Soto,Jude,California,(661) 555-5613,593466,jsoto2@alumni.rouxacademy.com,2001,11,2.46,Photography,NO,n/a,YES
Foster,Terrie,Texas,(806) 555-4294,23851,tfoster@alumni.rouxacademy.com,2010,2,2.37,Photography,NO,n/a,YES
Terry,Marcelo,Texas,(512) 555-2663,680520,mterry@alumni.rouxacademy.com,2011,1,3.91,Animation,NO,n/a,NO
Herman,Romana,New Jersey,(551) 555-4151,554065,rherman@alumni.rouxacademy.com,2006,6,2,Graphic Design,NO,n/a,NO
Ware,Carolee,New York,(917) 555-3776,852664,cware@alumni.rouxacademy.com,2006,6,2.26,Fine Art and Visual Culture,NO,n/a,YES
Hopkins,Sharita,California,(714) 555-8177,129560,shopkins@alumni.rouxacademy.com,2006,6,3.65,Graphic Design,NO,n/a,NO
Randall,Bradley,California,(619) 555-7034,945674,brandall@alumni.rouxacademy.com,2007,5,2.64,Fine Art and Visual Culture,NO,n/a,YES
Joyner,Bobbie,Iowa,(641) 555-6578,977421,bjoyner@alumni.rouxacademy.com,2003,9,2.72,Fashion and Textile Design,NO,n/a,YES
Macdonald,Daphne,Ohio,(330) 555-5849,702449,dmacdonald2@alumni.rouxacademy.com,2008,4,2.58,Animation,NO,n/a,NO
Long,Lucila,New York,(929) 555-3098,653021,llong@alumni.rouxacademy.com,2006,6,2.29,Photography,NO,n/a,YES
Leblanc,Marilyn,New York,(518) 555-1730,623142,mleblanc@alumni.rouxacademy.com,2006,6,2.82,Fashion and Textile Design,NO,n/a,YES
Spence,Rhea,Florida,(941) 555-8625,825123,rspence2@alumni.rouxacademy.com,2000,12,2.17,Fine Art and Visual Culture,NO,n/a,NO
Daniel,Mayola,Virginia,(703) 555-1777,907703,mdaniel2@alumni.rouxacademy.com,2003,9,2.55,Fashion and Textile Design,NO,n/a,YES
Bentley,Breanna,Idaho,(208) 555-9178,374315,bbentley@alumni.rouxacademy.com,2009,3,3.73,Photography,NO,n/a,YES
Fulton,Renata,Massachusetts,(781) 555-3441,347441,rfulton@alumni.rouxacademy.com,2000,12,3.88,Animation,NO,n/a,NO
Clements,Brunilda,Texas,(214) 555-3023,996534,bclements@alumni.rouxacademy.com,2006,6,2.54,Fashion and Textile Design,NO,n/a,NO
Andrews,Lura,Texas,(361) 555-8447,244051,landrews@alumni.rouxacademy.com,2003,9,3.61,Animation,NO,n/a,YES
Mclaughlin,Floretta,New York,(929) 555-3323,584225,fmclaughlin@alumni.rouxacademy.com,2005,7,3.45,Photography,NO,n/a,NO
Meadows,Luis,Florida,(239) 555-7109,619464,lmeadows@alumni.rouxacademy.com,2009,3,2.18,Animation,NO,n/a,YES
Watson,Misty,Alabama,(251) 555-7924,107619,mwatson2@alumni.rouxacademy.com,2009,3,3.69,Fine Art and Visual Culture,NO,n/a,NO
Lara,Teofila,Georgia,(678) 555-2065,621519,tlara@alumni.rouxacademy.com,2009,3,3.16,Fashion and Textile Design,NO,n/a,NO
Stephens,Zachery,New York,(917) 555-7156,47255,zstephens@alumni.rouxacademy.com,2007,5,3.42,Graphic Design,NO,n/a,NO
Huber,Andra,Washington,(206) 555-6417,575787,ahuber@alumni.rouxacademy.com,2006,6,2.14,Fine Art and Visual Culture,NO,n/a,YES
Haney,Cordelia,Illinois,(312) 555-7670,793864,chaney2@alumni.rouxacademy.com,2011,1,2.9,Photography,NO,n/a,NO
Callahan,Connie,Louisiana,(337) 555-9208,148426,ccallahan@alumni.rouxacademy.com,2006,6,2.92,Fashion and Textile Design,NO,n/a,NO
Perez,Bryon,North Carolina,(252) 555-1561,135372,bperez@alumni.rouxacademy.com,2001,11,2.15,Fashion and Textile Design,NO,n/a,NO
Anderson,Marie,Kansas,(316) 555-3055,281561,manderson@alumni.rouxacademy.com,2011,1,3.61,Animation,NO,n/a,YES
Cox,Yanira,Virginia,(757) 555-2532,621187,ycox@alumni.rouxacademy.com,2003,9,3.71,Fashion and Textile Design,NO,n/a,YES
Graham,Angela,New Jersey,(862) 555-1117,43061,agraham2@alumni.rouxacademy.com,2000,12,2.36,Animation,NO,n/a,YES
Hodges,Barrie,South Carolina,(864) 555-3370,312623,bhodges2@alumni.rouxacademy.com,2007,5,2.62,Fashion and Textile Design,NO,n/a,YES
Bowen,Tamisha,Michigan,(313) 555-0801,518402,tbowen@alumni.rouxacademy.com,2000,12,2.33,Fashion and Textile Design,NO,n/a,NO
Park,Tyra,California,(714) 555-8420,208571,tpark@alumni.rouxacademy.com,2010,2,3.7,Fine Art and Visual Culture,NO,n/a,YES
Alston,Tania,South Carolina,(843) 555-8372,356966,talston2@alumni.rouxacademy.com,2007,5,2.43,Animation,NO,n/a,YES
Wilson,Pearle,Kentucky,(859) 555-5659,69225,pwilson@alumni.rouxacademy.com,2005,7,3.55,Fashion and Textile Design,YES,Spain,YES
Dillon,Bridget,Pennsylvania,(610) 555-7111,85947,bdillon2@alumni.rouxacademy.com,2008,4,2,Animation,NO,n/a,NO
Pugh,Debi,California,(818) 555-7832,970196,dpugh@alumni.rouxacademy.com,2008,4,3.54,Fine Art and Visual Culture,NO,n/a,YES
Levine,Ranee,Arizona,(480) 555-4949,257907,rlevine@alumni.rouxacademy.com,2000,12,2.69,Animation,NO,n/a,YES
Watkins,Sherell,Louisiana,(504) 555-9724,415692,swatkins@alumni.rouxacademy.com,2002,10,3.63,Graphic Design,NO,n/a,NO
Bowen,Arvilla,Virginia,(804) 555-0000,316755,abowen@alumni.rouxacademy.com,2001,11,2.14,Fashion and Textile Design,YES,Greece,NO
Mitchell,Laronda,Illinois,(872) 555-0067,82135,lmitchell2@alumni.rouxacademy.com,2006,6,3.09,Graphic Design,NO,n/a,NO
Perry,Adriene,Georgia,(404) 555-3630,173965,aperry2@alumni.rouxacademy.com,2006,6,2.24,Fashion and Textile Design,NO,n/a,NO
Cash,Hannah,California,(714) 555-0887,612010,hcash@alumni.rouxacademy.com,2002,10,2.41,Fashion and Textile Design,NO,n/a,YES
Booker,Michel,Virginia,(276) 555-3527,473018,mbooker3@alumni.rouxacademy.com,2008,4,2.11,Graphic Design,NO,n/a,YES
Goodwin,Herma,Georgia,(478) 555-9728,915716,hgoodwin@alumni.rouxacademy.com,2002,10,3.88,Photography,YES,Canada,YES
Gregory,Kathleen,Iowa,(515) 555-4908,607685,kgregory@alumni.rouxacademy.com,2007,5,3.92,Graphic Design,NO,n/a,YES
Wiley,Morton,Indiana,(317) 555-4110,627849,mwiley@alumni.rouxacademy.com,2010,2,2.64,Fashion and Textile Design,NO,n/a,YES
Park,Hiram,Arizona,(602) 555-1686,930354,hpark@alumni.rouxacademy.com,2002,10,2.71,Graphic Design,NO,n/a,YES
Beach,Sue,Minnesota,(218) 555-9131,910444,sbeach@alumni.rouxacademy.com,2008,4,2.83,Photography,NO,n/a,YES
Oneil,Stephane,Kansas,(620) 555-0266,536281,soneil2@alumni.rouxacademy.com,2007,5,3.49,Fashion and Textile Design,NO,n/a,NO
Lawrence,Tom,Illinois,(872) 555-4258,635606,tlawrence2@alumni.rouxacademy.com,2011,1,2.19,Animation,NO,n/a,YES
Calderon,Reyna,Arkansas,(501) 555-5934,252443,rcalderon@alumni.rouxacademy.com,2004,8,3.26,Photography,NO,n/a,NO
Bright,Velia,South Carolina,(803) 555-6123,219355,vbright@alumni.rouxacademy.com,2007,5,2.5,Photography,NO,n/a,NO
Bowers,Marvis,Florida,(904) 555-4607,869837,mbowers@alumni.rouxacademy.com,2002,10,3.67,Animation,NO,n/a,NO
Grant,Estelle,Michigan,(231) 555-4599,737339,egrant@alumni.rouxacademy.com,2000,12,3.21,Animation,NO,n/a,YES
Cohen,Jenniffer,Indiana,(765) 555-4955,563860,jcohen@alumni.rouxacademy.com,2000,12,3.04,Graphic Design,YES,Germany,YES
Powell,Janie,Virginia,(276) 555-3931,120792,jpowell@alumni.rouxacademy.com,2003,9,3.59,Photography,NO,n/a,NO
Lawrence,Sherrill,Colorado,(970) 555-4460,765996,slawrence@alumni.rouxacademy.com,2006,6,3.89,Graphic Design,NO,n/a,NO
Jennings,Latesha,Georgia,(404) 555-5635,536313,ljennings2@alumni.rouxacademy.com,2001,11,2.54,Graphic Design,NO,n/a,YES
Buchanan,Lorna,Illinois,(872) 555-0787,356968,lbuchanan@alumni.rouxacademy.com,2010,2,3.59,Photography,NO,n/a,NO
Gutierrez,Shona,Pennsylvania,(267) 555-3837,64923,sgutierrez@alumni.rouxacademy.com,2002,10,3.24,Fashion and Textile Design,NO,n/a,NO
Williamson,Era,Missouri,(417) 555-3388,308996,ewilliamson@alumni.rouxacademy.com,2005,7,2.49,Fashion and Textile Design,NO,n/a,YES
Hunt,Sandy,Massachusetts,(339) 555-4184,86240,shunt2@alumni.rouxacademy.com,2008,4,2.55,Fine Art and Visual Culture,YES,Russia,NO
Barton,Margit,Louisiana,(985) 555-0115,934506,mbarton@alumni.rouxacademy.com,2011,1,3.53,Animation,NO,n/a,NO
Lawrence,Julio,West Virginia,(681) 555-5123,326914,jlawrence2@alumni.rouxacademy.com,2001,11,2.55,Fashion and Textile Design,NO,n/a,YES
Lancaster,Jeri,Maine,(207) 555-4034,160430,jlancaster@alumni.rouxacademy.com,2003,9,2.77,Fine Art and Visual Culture,YES,Japan,NO
Vazquez,Arlen,Iowa,(712) 555-8200,945228,avazquez@alumni.rouxacademy.com,2005,7,2.16,Fashion and Textile Design,NO,n/a,NO
Caldwell,Britta,New Hampshire,(603) 555-5747,60197,bcaldwell2@alumni.rouxacademy.com,2001,11,3.1,Graphic Design,NO,n/a,YES
Levy,Asuncion,Colorado,(303) 555-1821,565474,alevy@alumni.rouxacademy.com,2000,12,3.17,Fashion and Textile Design,NO,n/a,YES
Wong,Marion,Texas,(214) 555-6843,273425,mwong@alumni.rouxacademy.com,2002,10,3.53,Graphic Design,NO,n/a,YES
Craft,Alex,Virginia,(540) 555-9428,579310,acraft@alumni.rouxacademy.com,2008,4,3.74,Fashion and Textile Design,NO,n/a,YES
Gomez,Corey,South Carolina,(803) 555-3452,897907,cgomez@alumni.rouxacademy.com,2008,4,3.24,Fine Art and Visual Culture,NO,n/a,NO
Baxter,Billie,Pennsylvania,(878) 555-0075,663069,bbaxter@alumni.rouxacademy.com,2006,6,2.29,Photography,NO,n/a,YES
Rios,Angelita,Texas,(936) 555-1539,728636,arios@alumni.rouxacademy.com,2011,1,2.08,Graphic Design,YES,Japan,YES
Hester,Jayne,California,(213) 555-2146,592552,jhester4@alumni.rouxacademy.com,2003,9,3.38,Fine Art and Visual Culture,NO,n/a,YES
Valdez,Lexie,Michigan,(616) 555-7285,310470,lvaldez2@alumni.rouxacademy.com,2001,11,2.63,Fine Art and Visual Culture,YES,Turkey,YES
Simon,Samara,California,(530) 555-4405,128903,ssimon3@alumni.rouxacademy.com,2003,9,3.39,Graphic Design,NO,n/a,NO
Burton,Gisela,Michigan,(517) 555-9748,57274,gburton@alumni.rouxacademy.com,2009,3,2.09,Fine Art and Visual Culture,YES,Turkey,NO
Puckett,Kristin,Illinois,(630) 555-8875,457541,kpuckett@alumni.rouxacademy.com,2010,2,3.21,Graphic Design,NO,n/a,NO
Jennings,Annabelle,Texas,(832) 555-0449,895197,ajennings@alumni.rouxacademy.com,2006,6,3.21,Fashion and Textile Design,NO,n/a,NO
Blake,Georgann,Massachusetts,(617) 555-4272,593883,gblake@alumni.rouxacademy.com,2000,12,2.07,Animation,NO,n/a,YES
Cochran,Mona,Nevada,(702) 555-8693,591344,mcochran2@alumni.rouxacademy.com,2003,9,3.76,Graphic Design,YES,Sweden,YES
Conway,Misty,Texas,(325) 555-5918,607816,mconway@alumni.rouxacademy.com,2011,1,2.9,Graphic Design,NO,n/a,YES
Mcneil,Rebeca,California,(626) 555-9927,720374,rmcneil@alumni.rouxacademy.com,2008,4,3.14,Animation,NO,n/a,NO
Lamb,Suzie,Florida,(352) 555-4098,201789,slamb@alumni.rouxacademy.com,2003,9,3.29,Animation,NO,n/a,NO
Calderon,Glenda,Texas,(254) 555-1357,959062,gcalderon@alumni.rouxacademy.com,2011,1,2.15,Fashion and Textile Design,NO,n/a,NO
Huffman,Nydia,Colorado,(719) 555-4308,305124,nhuffman@alumni.rouxacademy.com,2003,9,3.34,Photography,YES,Thailand,YES
York,Waltraud,Arkansas,(870) 555-3431,899500,wyork@alumni.rouxacademy.com,2005,7,2.94,Graphic Design,NO,n/a,NO
Sims,Breanne,Texas,(713) 555-0823,151480,bsims2@alumni.rouxacademy.com,2006,6,2.12,Graphic Design,NO,n/a,NO
Preston,Shakita,Washington,(425) 555-3685,982596,spreston@alumni.rouxacademy.com,2010,2,3.64,Photography,NO,n/a,NO
Jefferson,Marinda,New York,(315) 555-4562,31952,mjefferson@alumni.rouxacademy.com,2008,4,3.53,Animation,NO,n/a,NO
Murphy,Claude,Kentucky,(606) 555-0263,994232,cmurphy@alumni.rouxacademy.com,2006,6,3.8,Photography,NO,n/a,YES
Figueroa,Milo,Indiana,(260) 555-1691,332501,mfigueroa2@alumni.rouxacademy.com,2000,12,2.39,Fine Art and Visual Culture,NO,n/a,YES
Mendez,Maritza,California,(831) 555-7249,717661,mmendez@alumni.rouxacademy.com,2010,2,3.94,Animation,NO,n/a,NO
Bradley,Marinda,Michigan,(269) 555-7941,17351,mbradley@alumni.rouxacademy.com,2005,7,3.46,Graphic Design,NO,n/a,NO
Schneider,Alex,Minnesota,(952) 555-8915,817362,aschneider@alumni.rouxacademy.com,2003,9,2.34,Photography,NO,n/a,NO
Justice,Amee,California,(949) 555-3449,861838,ajustice@alumni.rouxacademy.com,2004,8,3.84,Fashion and Textile Design,YES,Mexico,YES
Estes,Florance,Indiana,(219) 555-9594,149182,festes@alumni.rouxacademy.com,2004,8,2.49,Animation,NO,n/a,NO
Winters,Le,New York,(315) 555-6313,734694,lwinters@alumni.rouxacademy.com,2002,10,3.51,Fashion and Textile Design,NO,n/a,YES
Newton,Elvera,Kansas,(913) 555-2599,669356,enewton@alumni.rouxacademy.com,2002,10,3.69,Animation,YES,Lebanon,NO
Savage,Florentina,Illinois,(773) 555-9768,287058,fsavage@alumni.rouxacademy.com,2010,2,2.78,Animation,NO,n/a,YES
Dixon,Terrie,Michigan,(231) 555-9537,548006,tdixon@alumni.rouxacademy.com,2001,11,3.78,Photography,NO,n/a,YES
Salazar,Irma,Louisiana,(318) 555-4849,935662,isalazar@alumni.rouxacademy.com,2006,6,2.92,Fine Art and Visual Culture,NO,n/a,YES
Vega,Fabiola,Tennessee,(731) 555-8530,669072,fvega@alumni.rouxacademy.com,2007,5,3,Fine Art and Visual Culture,NO,n/a,YES
Patterson,Maximina,Texas,(210) 555-1080,134561,mpatterson@alumni.rouxacademy.com,2003,9,2.74,Fashion and Textile Design,YES,Turkey,NO
Hahn,Oswaldo,New Jersey,(609) 555-9388,89678,ohahn@alumni.rouxacademy.com,2000,12,3.97,Animation,NO,n/a,YES
Spence,Stacy,Alaska,(907) 555-2972,635600,sspence@alumni.rouxacademy.com,2011,1,2.26,Animation,NO,n/a,YES
Hansen,Freddie,California,(213) 555-8803,867509,fhansen@alumni.rouxacademy.com,2004,8,3.39,Photography,YES,Russia,YES
Carrillo,Deshawn,California,(424) 555-4134,571032,dcarrillo@alumni.rouxacademy.com,2010,2,2.09,Fine Art and Visual Culture,NO,n/a,NO
Allen,Sondra,Alabama,(938) 555-0337,226025,sallen@alumni.rouxacademy.com,2007,5,3.3,Photography,NO,n/a,NO
Alford,Jeraldine,Texas,(432) 555-3510,809188,jalford2@alumni.rouxacademy.com,2001,11,2.3,Animation,NO,n/a,NO
Cherry,Del,California,(760) 555-0788,423548,dcherry2@alumni.rouxacademy.com,2009,3,2.34,Fine Art and Visual Culture,NO,n/a,YES
Alston,Franchesca,Florida,(305) 555-7019,275948,falston@alumni.rouxacademy.com,2008,4,2.91,Graphic Design,NO,n/a,YES
Good,Britni,Florida,(941) 555-8629,138377,bgood@alumni.rouxacademy.com,2005,7,3.46,Photography,NO,n/a,YES
Gay,Maryalice,California,(747) 555-8206,596559,mgay@alumni.rouxacademy.com,2001,11,3.14,Fashion and Textile Design,NO,n/a,YES
Gonzalez,Ammie,Illinois,(779) 555-9015,418112,agonzalez@alumni.rouxacademy.com,2004,8,3.94,Photography,NO,n/a,NO
Rodriguez,Jc,Pennsylvania,(717) 555-9391,391416,jrodriguez2@alumni.rouxacademy.com,2005,7,2.5,Fashion and Textile Design,NO,n/a,YES
Gould,Sherilyn,Louisiana,(985) 555-2846,333257,sgould@alumni.rouxacademy.com,2002,10,2.7,Fashion and Textile Design,NO,n/a,YES
Simpson,Kathlene,Wisconsin,(920) 555-0579,516782,ksimpson@alumni.rouxacademy.com,2011,1,2.95,Photography,NO,n/a,NO
Conrad,Darlena,Washington,(206) 555-8917,637766,dconrad@alumni.rouxacademy.com,2003,9,2.33,Photography,NO,n/a,YES
Cote,Ignacia,Wisconsin,(414) 555-9146,273200,icote@alumni.rouxacademy.com,2005,7,3.62,Fashion and Textile Design,NO,n/a,NO
Solis,Carolann,California,(805) 555-1240,549606,csolis@alumni.rouxacademy.com,2009,3,3.32,Fashion and Textile Design,NO,n/a,NO
Franks,Janice,Utah,(801) 555-0489,667767,jfranks@alumni.rouxacademy.com,2002,10,3.35,Fine Art and Visual Culture,NO,n/a,YES
Levine,Sharmaine,Indiana,(317) 555-0120,824152,slevine2@alumni.rouxacademy.com,2004,8,2.93,Animation,NO,n/a,NO
Gonzales,Lavern,Massachusetts,(351) 555-4191,970413,lgonzales@alumni.rouxacademy.com,2011,1,3.64,Animation,NO,n/a,YES
Britt,Chloe,Texas,(940) 555-6446,209236,cbritt@alumni.rouxacademy.com,2010,2,3.84,Fashion and Textile Design,NO,n/a,NO
Mckenzie,Raymond,Colorado,(303) 555-0917,803817,rmckenzie2@alumni.rouxacademy.com,2007,5,3.94,Animation,NO,n/a,YES
Burks,Julene,Washington,(509) 555-3133,412254,jburks@alumni.rouxacademy.com,2004,8,2.6,Fashion and Textile Design,NO,n/a,YES
Becker,Lorenza,New Jersey,(908) 555-6625,85854,lbecker@alumni.rouxacademy.com,2007,5,2.41,Graphic Design,YES,Brazil,YES
Bruce,Jill,Mississippi,(601) 555-7229,448546,jbruce@alumni.rouxacademy.com,2001,11,2.96,Graphic Design,NO,n/a,YES
Paul,Leah,Ohio,(216) 555-2462,567156,lpaul2@alumni.rouxacademy.com,2004,8,3.97,Fashion and Textile Design,NO,n/a,NO
Cline,Izetta,Wisconsin,(715) 555-7985,535835,icline@alumni.rouxacademy.com,2009,3,3.55,Fine Art and Visual Culture,NO,n/a,NO
Dudley,Herschel,Texas,(979) 555-1152,374258,hdudley@alumni.rouxacademy.com,2008,4,2.48,Fashion and Textile Design,NO,n/a,YES
Lawson,Jacki,Texas,(409) 555-6910,806684,jlawson2@alumni.rouxacademy.com,2010,2,3.06,Graphic Design,NO,n/a,NO
Bush,Nakita,Texas,(210) 555-5158,37702,nbush@alumni.rouxacademy.com,2004,8,2.23,Animation,NO,n/a,YES
Weaver,Lawanna,Tennessee,(615) 555-2438,361285,lweaver@alumni.rouxacademy.com,2008,4,2.75,Photography,NO,n/a,NO
Jones,Aleshia,Illinois,(847) 555-4437,603182,ajones@alumni.rouxacademy.com,2004,8,2.88,Graphic Design,NO,n/a,YES
Donovan,Jordan,Illinois,(312) 555-9414,901459,jdonovan@alumni.rouxacademy.com,2009,3,3.9,Photography,NO,n/a,YES
Sharpe,Jody,Kentucky,(502) 555-0383,749886,jsharpe@alumni.rouxacademy.com,2006,6,2.27,Animation,YES,Canada,YES
Hughes,Ellis,Illinois,(708) 555-6771,720869,ehughes@alumni.rouxacademy.com,2000,12,2.83,Fashion and Textile Design,NO,n/a,YES
Elliott,Magda,Texas,(281) 555-3251,412113,melliott2@alumni.rouxacademy.com,2006,6,2.62,Fashion and Textile Design,YES,Poland,YES
Avila,Phyllis,Arkansas,(870) 555-6147,175581,pavila@alumni.rouxacademy.com,2004,8,2.5,Fashion and Textile Design,NO,n/a,YES
Johnson,Epifania,Massachusetts,(351) 555-6637,165941,ejohnson@alumni.rouxacademy.com,2011,1,2.67,Fashion and Textile Design,NO,n/a,YES
Sampson,Ralph,Pennsylvania,(412) 555-2814,705657,rsampson@alumni.rouxacademy.com,2004,8,2.12,Graphic Design,NO,n/a,NO
Benton,Kathleen,Illinois,(217) 555-7489,772532,kbenton@alumni.rouxacademy.com,2011,1,3.22,Animation,NO,n/a,YES
Holt,Peggie,Illinois,(217) 555-6766,257055,pholt@alumni.rouxacademy.com,2011,1,2.08,Fashion and Textile Design,YES,South Africa,YES
Hays,Otha,Iowa,(563) 555-4844,324092,ohays2@alumni.rouxacademy.com,2011,1,3.87,Fashion and Textile Design,NO,n/a,NO
Bean,Mickey,Ohio,(330) 555-2333,913857,mbean@alumni.rouxacademy.com,2000,12,3.13,Fine Art and Visual Culture,NO,n/a,NO
Collins,Tamela,South Carolina,(864) 555-7528,159196,tcollins@alumni.rouxacademy.com,2007,5,2.03,Fashion and Textile Design,NO,n/a,NO
Campbell,Jason,California,(707) 555-9693,665793,jcampbell@alumni.rouxacademy.com,2001,11,2.78,Photography,NO,n/a,NO
Garner,David,Minnesota,(651) 555-9071,139896,dgarner2@alumni.rouxacademy.com,2007,5,3.35,Animation,NO,n/a,NO
Hughes,Jeannine,Ohio,(614) 555-7598,563186,jhughes3@alumni.rouxacademy.com,2008,4,3.43,Animation,YES,Japan,YES
Molina,Rayna,Florida,(941) 555-8701,501173,rmolina@alumni.rouxacademy.com,2004,8,3.59,Graphic Design,NO,n/a,YES
Banks,Jordon,Indiana,(260) 555-0649,514441,jbanks@alumni.rouxacademy.com,2009,3,2.7,Animation,NO,n/a,NO
Woods,Tonita,Wisconsin,(414) 555-9006,295862,twoods@alumni.rouxacademy.com,2003,9,2.64,Fine Art and Visual Culture,YES,Argentina,NO
Hess,Jacquelyne,Ohio,(567) 555-5252,926577,jhess2@alumni.rouxacademy.com,2011,1,2.02,Photography,NO,n/a,NO
Banks,Ellen,Minnesota,(612) 555-0166,941900,ebanks@alumni.rouxacademy.com,2006,6,2.47,Fashion and Textile Design,NO,n/a,YES
Marquez,Danny,California,(562) 555-5427,453499,dmarquez@alumni.rouxacademy.com,2010,2,3.15,Fashion and Textile Design,YES,Finland,YES
Carpenter,Ezra,Mississippi,(769) 555-2638,763521,ecarpenter@alumni.rouxacademy.com,2000,12,3.94,Graphic Design,NO,n/a,NO
Huff,Carl,Pennsylvania,(814) 555-9412,292492,chuff2@alumni.rouxacademy.com,2004,8,3.73,Fine Art and Visual Culture,NO,n/a,NO
Cortez,Ilona,Florida,(239) 555-8155,438985,icortez@alumni.rouxacademy.com,2005,7,2.26,Photography,NO,n/a,NO
Garza,Cathrine,Missouri,(314) 555-5010,862108,cgarza@alumni.rouxacademy.com,2006,6,2.26,Animation,NO,n/a,YES
Bird,Colin,Connecticut,(203) 555-3542,78645,cbird@alumni.rouxacademy.com,2004,8,2.74,Fine Art and Visual Culture,YES,Canada,NO
Knowles,Yasmin,Wyoming,(307) 555-0900,895712,yknowles@alumni.rouxacademy.com,2010,2,3.08,Fine Art and Visual Culture,NO,n/a,NO
Orr,Lien,Massachusetts,(413) 555-1546,885506,lorr@alumni.rouxacademy.com,2010,2,2.07,Fashion and Textile Design,NO,n/a,NO
Calderon,Gregg,Texas,(210) 555-8324,169662,gcalderon2@alumni.rouxacademy.com,2003,9,2.95,Graphic Design,NO,n/a,YES
Henderson,Saul,Illinois,(331) 555-2080,111763,shenderson2@alumni.rouxacademy.com,2007,5,2.04,Animation,NO,n/a,YES
Schultz,Aleshia,California,(760) 555-6392,573726,aschultz2@alumni.rouxacademy.com,2005,7,3.66,Fashion and Textile Design,NO,n/a,YES
Dejesus,Coralie,North Carolina,(910) 555-2763,226186,cdejesus@alumni.rouxacademy.com,2005,7,2.5,Animation,YES,Italy,YES
Reilly,Candis,New Jersey,(862) 555-1386,57773,creilly@alumni.rouxacademy.com,2006,6,2.44,Fine Art and Visual Culture,NO,n/a,NO
Justice,Bernarda,Oklahoma,(539) 555-6261,195784,bjustice2@alumni.rouxacademy.com,2000,12,3.51,Fashion and Textile Design,NO,n/a,NO
Monroe,Jenee,California,(805) 555-5920,434680,jmonroe2@alumni.rouxacademy.com,2002,10,2.51,Fine Art and Visual Culture,NO,n/a,YES
